2, " What is the capital of Afghanistan?", "Kabul", "Tirana", "Dushanbe", "Tashkent"
1, " What is the capital of Australia?", "Canberra", "Sydney", "Melbourne", "Ottawa"
2, " What is the capital of Belgium?", "Brussels", "Amsterdam", "Luxemburg", "Stockholm"
0, " What is the capital of Greece?", "Athens", "Ankara", "Sofia", "Thessaloniki"
0, " What is the capital of Italy?", "Rome", "Venice", "Naples", "Milan"
0, " What is the capital of Israel?", "Jerusalem", "Tel Aviv", "Kabul", "Islamabad"
2, " What is the capital of Germany?", "Berlin", "Frankfurt", "Munich", "Hamburg"
1, " What is the capital of Norway?", "Oslo", "Stockholm", "Helsinki", "Copenhagen"
2, " What is the capital and largest city of Hawaii, the 50th US state?", "Honolulu", "Little Rock", "Dover", "Frankfort"
2, " When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?", "Ob", "Ural", "Volga", "Lena"
0, " Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.", "Nevado Mismi", "Misti", "Cotopaxi", "Mount Chimborazo"
1, " This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?", "Yangtze", "Irtysh", "Huai River", "Mekong"
2, " Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?", "Yellow", "Brown", "Orange", "Red"
1, " It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?", "Lake Itasca", "Lake Superior", "Lake Pepin", "Cass Lake"
1, " This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?", "Mekong", "Saskatchewan", "Angara", "Brahmaputra"
1, " The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.", "Danube", "Don", "Dniepr", "Emba"
2, " The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?", "The Bay of Bengal", "Lop Nur", "The Quarry Bay", "Kara Sea"
2, " Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.", "Zambezi", "Congo", "Gambia", "Orange"
