0,How many arms do octopuses have?,8,5,0,2
1," It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.",24,0,1,7
1,A vampire bat will die if it doesnt find blood for how many nights in a row?,2,5,1,7
0,How many cubs are usually in a tigers litter?,3-4 cubs,1-6 cubs,1-2 cubs,2-4 cubs
0,At what age does a wolf usually leave its pack?,2-3 years,5-6 years,1-2 years,3-4 years
1,How many young skunks can be born in one litter?,1-7,1-10,1-5,1-4
1,Approximately how many miles per year can the North American caribou travel?,"3,000","11,000","1,000","7,000"
2,Most lions only survive in Africa. But a population of the much endangered Asiatic lion lives in India. How many estimated lions live in India as of 2007?,300,550,"1,500","3,000"
2,How many living species of bears are there?,8,4,10,6
1,What was the average height of a stegosaurus?,9 feet (2.7 m),8 feet (2.4 m),10 feet (3 m),12 feet (12.6 m)
2," What is the approximate weight standard, that a Yorkshire Terrier show dog cannot go over?",No standard,7 lbs,10 lbs,2 lbs
1,How long is a giraffes gestation period?,14- 15 months,18 - 20 months,10 months,9 months
0,How long is the gestation period of a tiger?,16 weeks,22 weeks,10 weeks,14 weeks
0,How long is the gestation period for a female tiger shark?,15-16 months,20-21 months,10-12 weeks,9-10 Months
0,How many individual muscles are in an elephants trunk?,"40,000","2,000","10,000",500
1,How many pounds of leaves can a giraffe consume daily?,140 pounds,60 pounds,100 pounds,210 pounds
0,How long is the average lifespan of an elephant?,70 years,15 years,110 years,35 years
2,What maximum height at the withers can Chihuahuas reach?,15 inches (38 cm),24 inches (60 cm),12 inches (30 cm),9 inches (22 cm)
2,How many hours of sleep do sloths normally need per day?,Less than 10 hours,20-22 hours,12-13 hours,15-18 hours
2,What is the average incubation period of crocodile eggs?,80 days,50 days,120 days,25 days
2,How many beats per minute does a chickens heart usually beat?,280-315,100-234,147-189,95-124
1,What is the Yorkshire Terriers average lifespan?,11 - 13 years,5 - 8 years,15 - 18 years,99 - 101 years
2,Approximately how many reindeer live in Eurasia?,5 million,10 million,15 million,1 million
1,What is the typical lifespan of the beagle?,12 years,20 years,15 years,7 years
2,What is the typical lifespan of the cheetah?,10-20 years,25-40 years,15-25 years,5-10 years
0,What is the mortality rate of a cheetah cub growing to adulthood?,95% die,50% die,15% die,65% die
1,Approximately how many wild polar bears are estimated to live across the Arctic?,"20,000","100,000","150,000","60,000"
0,What year was the Clydesdale horse introduced to North America?,1715,1636,1525,1800
0,In what year was the dodo discovered?,1598,1627,1605,1681
2,In what year did the dodo become extinct?,1681,1705,1789,1803
2,How long does the gestation period of elephants last?,22 months,30 months,18 months,12 months
0,In what year were the first Moa remains discovered by Europeans?,1839,1765,1857,1724
1,In what year was Triceratops first discovered?,1888,1894,1885,1906
0,When was the last reported killing of a Thylacine in Australia?,1930,1880,1900,1910
2,What year was the Clydesdale Horse Society formally founded?,1887,1925,1901,1885
2,In what year was the Praying mantis placed on the Endangered Species List?,1976,1972,1970,1974
1,In what year were Thylacines classified as extinct?,1986,1979,1974,1965
1,How many species of flamingo are native to the Americas?,4,3,2,1
0,Despite sharks’ bad reputation thanks to movies out of 300 species of sharks only this much are known to have attacked and killed a man.,4,10,2,11
0,How many subspecies of the tiger are left nowadays?,6,8,2,3
0,How many known species of earthworm exist worldwide?,"5,500","3,000","2,500","1,000"
1,What is the gestation period of a rhino?,16 months,12 months,20 months,24 months
1,It is thought that Triceratops was able to run how fast?,15 mph,40 mph,20 mph,30 mph
0,What is the average maximal speed a lion can reach?,35 mph / 56 km/h,45 mph / 72 km/h,20 mph / 32 km/h,40 mph / 64 km/h
0,How long can a zebra live in captivity?,40 years,30 years,20 years,15 years
2,What is the life span of a rhino?,40 years,15 years,20 years,30 years
1,What is the average lifespan of a lion in the wild?,10-14 years,6-9 years,20-24 years,15-20 years
1,We’ve seen these animals as friendly and approachable but the truth is that they’re unpredictable. What is the average number of fatalities a year elephants cause?,300-500,150-200,20-40,1000-1500
0,This percentage of all snakes on Earth are lethal to humans.,15%,10%,20%,25%
2,How long does a Clydesdale horse’s pregnancy last?,11 Months,9 months,24 Months,15 Months
1," Out of 200 vampire bats, approximately how many have rabies?",1,5,25,10
0,How long is the female gestation period in wolves?,63 days,90 days,25 days,200 days
0," According to history/science/geology, dinosaurs became extinct approximately how many years ago?",65 million,10 million,25 million,80 million
0,How fast can a zebra run?,40 mph (65 km/h),30 mph (50 km/h),25 mph (40 km/h),50 mph (80 km/h)
1,How many species of earthworm are native to Australia?,650,450,250,850
0,How many million of earthworms were exported from Canada and sold worldwide in 1980?,370 million,225 million,260 million,100 million
1,How many species of penguins live in warm or even tropical environments?,4,0,3,2
1," The BBC series Walking with Dinosaurs, which won three Emmy Awards, consisted of how many parts?",6,12,3,2
2,How many fingers did the Tyrannosaurus rex have on its forelimbs?,2,4,3,5
1,How many species of zebra are known to exist?,4,6,3,5
2,What is the gestation period of a beaver?,4 months,2 months,3 months,6 months
0,Approximately how long is a lions gestation period?,120 days,200 days,30 days,60 days
0,How long in years is the life span of an average wild hippopotamus?,40-50,10-20,30-40,20-30
2,What was the length of an average Stegosaurus?,26-30 feet (8-9.2 m),20-28 feet (6-8.5 m),30-40 feet (9.2-12.2 m),34-38 feet (10.4-11.5 m)
0,In 2007 the amount of cheetahs left in the wild dropped to what number?,"12,000","20,000","30,000","5,000"
0,What decade did the pop culture icon the plastic lawn flamingo come into existence?,60s,40s,30s,80s
1,What is the top speed that the Red Fox can reach?,45 mph,25 mph,35 mph,55 mph
1,How many species of pigeons and doves exist?,300,200,375,250
1,How many species of rhinoceros survive in the wild?,5,2,4,3
0,How many hearts does a typical earthworm have?,10,2,4,8
1,How many young pangolins can an adult pangolin have at one time?,1-2,3-4,4-5,2-3
1,About how many years have beagles been around?,"2,000","5,000","4,000","3,000"
0,The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?,55 - 80 pounds,65 - 110 pounds,40 - 55 pounds,20 - 60 pounds
2,Approximately how long is a Red Foxs gestation period?,55 days,89 days,40 days,34 days
1,How many different types of wolves including sub-species are there around the world?,9,Over 100,44,3
1,About how long have ants been around on Earth?,60 million years,8 million years,45 milllion years,25 million years
0,A baby cobra is fully able to defend itself in as little as this many hours after being born.,3,12,48,72
2," Generally, how many times in an interval of 5 hours do lions mate?",10,1,5,20
2,How tall is a typical zebra at the shoulder?,4 feet (1.2 m),6 feet (1.8 m),5 1/2 feet (1.6 m),3 feet (0.9 m)
2,Approximately what amount of meat does an adult male lion’s diet require per day?,15 lbs. (6.8 kg),10 lbs. (4.5 kg),5 lbs. (2.2 kg),25 lbs. (11 kg)
2,Approximately how much does a typical female vampire bat weigh?,1.5 oz.,8 oz.,5 oz.,1 lb.
1,What is the most amount of wolf pups ever recorded in a litter?,14 pups,4 pups,5 pups,10 pups
1,What is the average lifespan of a mudpuppy?,11 years,2 years,5 years,35 years
0,What is the average weight of an adult nutria?,10-20 lbs.,15-25 lbs.,5-10 lbs.,Over 30 lbs.
2,What is the average lifespan of a vampire bat?,40-50 years,20-25 years,5-10 years,70-80 years
0,How many species of Moa are known to have existed?,11-15,3-5,5-7,10-13
2,How many different vocalization sounds does a cat make?,100,200,50,150
1,Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?,600-800,1000-1500,50-100,100-200
1,What is the estimated average lifespan of a crocodile?,70+ years,80+ years,50+ years,90+ years
1,How many types of bats are there?,900,700,500,200
2,What place did the Yorkshire Terrier take in the AKC registered breed popularity in the USA in 2008?,2nd,1st,50th,79th
2,How many fatal brown and grizzly bear attacks have been reported between 1900 and 2003 in North America?,53,175,542,257
0,How many species of elephant exist today?,3,1,6,5
2,How long is the Red Foxs lifespan in the wild?,3 years,8 years,6 years,10 years
0,What was the average weight of a Stegosaurus?,"6,800 lbs. (3 tonnes)","8,000 lbs. (3.6 tonnes)","6,000 lbs. (2.7 tonnes)","7,400 lbs. (3.3 tonnes)"
1," Elephants spend 16 hours a day collecting and eating food, an average of 400 lbs of food a day. But their bodies do not digest 100% of the food. How much of the food does the elephants body digest?",40%,80%,60%,20%
2," Throughout the period from the 1970s to the end of the 20th century, the rhinoceros numbers declined by approximately what percentage?",90%,50%,60%,75%
0,Which of these statements is true about the diet of coyotes?,They eat insects.,All of these,60% of their diet consists of mammals.,They do not eat prairie dogs.
1,How many recognized giraffe subspecies exist?,9,6,7,5
0,Approximately how tall is a grizzly bear when standing on its hind legs?,8 feet (2.4 m),9 feet (2.7 m),7 feet (2.1 m),6 feet (1.8 m)
2,What is the the body length of an average mature sloth from head to tail?,50-60 centimeters,90-100 centimeters,70-80 centimeters,30-40 centimeters
1,A crocodile bite strength is up to how many pounds psi (per square inch)?,3000 psi,5000 psi,700 psi,1500 psi
0,The largest ant colony is located on the Ishikari coast of Hokkaido. Approximately how many ants are there in this colony?,"300,000,000","30,000,000","700,000,000","1,500,000"
2,Until what age can the female elephant (called a cow) produce offspring?,50 years,15 years,75 years,7 years
0,The ruler of the Mughal Empire Akbar the Great was very enamored with cheetahs and it is said he kept a stable of how many of these cats?,"1,000","5,000",750,500
2,How many species of skunk exist?,11,6,8,13
2,How many legs do ants have?,6,10,8,4
1,What is the average lifespan of Chihuahuas?,8- 18 years,8 - 12 years,8 - 26 years,8 - 15 years
1,How much of an effective range do skunks odor glands have?,15 feet,10 feet,8 feet,20 feet
0,How long can a goldfish live in optimal conditions?,20 years,5 years,8 years,10 years
2,Butterflies need the warmth of the sun in order to fly. They cannot possibly fly if the temperature is below this.,50 F (10 C),60 F (16 C),80 F (27 C),70 F (21 C)
1,How many bony plates did a Stegosaurus have embedded on its back?,17,11,9,15
1,How many box turtle species are there in North America?,4,1,9,2
2,Which of these statements is true about the reproduction of cockroaches?,All of these,Male roaches use court rituals to attract the female.,"A few species can reproduce through parthenogenesis, or without the need of fertilization.",Males and females attract each other through pheromones.
2,Which of the following statements about snakes is not true?,Snakes will attack almost always they sense the presence of a human.,Snakes can strike upto half their length.,A fully grown king cobra can rear up so it looks a human in the eyes.,Not all venomous snakes are capable of killing a man.
2," In the scientific classification of animals, what does the term Dinosauria signify?",A superorder,A family,A genus,A kingdom
2," What is Dinotopia, the fictional place where humans and dinosaurs live together in James Gurneys books and Hallmarks mini series?",A hidden island,A planet,A mountain,A large volcano
1,What is the definition of the term hypercarnivore?,An animal whose diet consists exclusively of meat.,It is a synonym for apex carnivore.,A predator that feeds on carnivorous animals.,It is a term that refers to humans.
2,What notable feature does the Gentoo Penguin possess which makes it easily recognizable?,A white stripe on the top of its head,A longer blue tail,A red crest on its head,A yellow spot on its abdomen
2,Which of these methods do carnivorous plants use for capturing their prey?,All of these,Rapid leaf movements,A sticky mucilage,Vacuum sucking into a bladder
0,What is a pangolin?,A scaly ant-eating mammal,A poisonous snake,A type of fish,A type of waterfowl
2,What is the average weight of the Tasmanian Pygmy Possum?,About 7g,About 250g,About 50g,About 100g
2,Snakes consume their food by means of this process.,Swallowing,Breathing,Absorption,Chewing
2,Name the prehistoric reptile of the late Jurassic and Cretaceous period with featherless wing membrane.  It is believed this reptile flew.,Pterodactyl,Bronchialsaurus,Accipitridae Raptor,dactylic raptor
2,How is the body of the jellyfish oxygenated?,diffusion,osmosis,active transport,photosynthesis
1," Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?",Australia,North America,Africa,Asia
2,To what continent is the unique Maned Wolf endemic?,South America,Asia,Africa,Europe
1,What geographical region are chinchillas native to?,South America,Asia,Africa,North America
0,The nutria is native to which continent?,South America,Europe,Africa,North America
2,To which of these geographical areas are hummingbirds indigenous?,North and South America,Europe,Africa and Asia,Australia and Tasmania
2,The venomous lizard Gila monster was named after what?,The Gila River basin,The Gila Expedition 1857,Alberto Gilardino,Gilligans Island
1,Which of these is true about ants diet?,Most ants are omnivores.,All ants are herbivores.,All ants are carnivores.,Most ant species are carnivores.
0," Although only a small percent of scorpions are venomous to people, 800 to 2000 human deaths each year are caused by scorpions. During which part of the day are these creatures most active?",Night,Morning,All day,Noon
2,What type of mammal is the kangaroo?,Marsupial,Monotreme,All of these,Amniote
2," The representatives of the Old Danish Pointer breed are white, with markings of this other color on their coat.",Brown,Grey,All of these,Black
1,The Brazilian wandering spiders are included in Guinness World Records 2007 as the worlds most venomous spiders. How do they inject their venom?,By biting,By stinging,All of these,By urticating hairs
1," What type of food does the Lesser Vasa Parrot, also known as Black Parrot, feed on?",Fruit,Insects,All of these,Carrion
